source,target,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources,category_intercell_source,parent_intercell_source,database_intercell_source,scope_intercell_source,aspect_intercell_source,category_source_intercell_source,uniprot_intercell_source,genesymbol_intercell_source,entity_type_intercell_source,consensus_score_intercell_source,transmitter_intercell_source,receiver_intercell_source,secreted_intercell_source,plasma_membrane_transmembrane_intercell_source,plasma_membrane_peripheral_intercell_source,category_intercell_target,parent_intercell_target,database_intercell_target,scope_intercell_target,aspect_intercell_target,category_source_intercell_target,uniprot_intercell_target,genesymbol_intercell_target,entity_type_intercell_target,consensus_score_intercell_target,transmitter_intercell_target,receiver_intercell_target,secreted_intercell_target,plasma_membrane_transmembrane_intercell_target,plasma_membrane_peripheral_intercell_target
P23560,P48995,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P23560,BDNF,protein,18,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P48995,TRPC1,protein,1,FALSE,TRUE,FALSE,FALSE,FALSE
P48061,P04899,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P48061,CXCL12,protein,18,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,CellCellInteractions;GO_Intercell;Baccin2019;OmniPath,generic,functional,resource_specific,P04899,GNAI2,protein,1,FALSE,TRUE,FALSE,FALSE,FALSE
P02776,P04899,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P02776,PF4,protein,13,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,P04899,GNAI2,protein,1,FALSE,TRUE,FALSE,FALSE,FALSE
P19235,Q13507,TRUE,FALSE,TRUE,TRUE,FALSE,,3,TRIP:18276585;TRIP:19074769;TRIP:21757714,TRIP,post_translational,18276585;19074769;21757714,3,1,1,ligand,ligand,CellChatDB,generic,functional,resource_specific,P19235,EPOR,protein,1,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,Q13507,TRPC3,protein,2,FALSE,TRUE,FALSE,FALSE,FALSE
P19235,P01588,FALSE,TRUE,FALSE,FALSE,FALSE,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=9856,21,BioGRID:10318834;BioGRID:15358619;BioGRID:17327410;BioGRID:9808045;DIP:10318834;DIP:8662939;DIP:9030560;DIP:9774108;HPRD:10318834;HPRD:9808045;InnateDB:21889455;InnateDB:9774108;IntAct:29997244;IntAct:9774108;Lit-BM-17:10318834;Lit-BM-17:15358619;Lit-BM-17:17327410;Lit-BM-17:8662939;Lit-BM-17:9030560;Lit-BM-17:9774108;Lit-BM-17:9808045,BioGRID;CellPhoneDB;DIP;HPRD;InnateDB;IntAct;Lit-BM-17;Wang,post_translational,10318834;15358619;17327410;21889455;29997244;8662939;9030560;9774108;9808045,9,8,8,ligand,ligand,CellChatDB,generic,functional,resource_specific,P19235,EPOR,protein,1,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,P01588,EPO,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P22301,P01588,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,Matrisome;OmniPath,generic,functional,resource_specific,P22301,IL10,protein,18,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,P01588,EPO,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P01579,P01588,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,talklr;connectomeDB2020;Matrisome;iTALK;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;Guide2Pharma;DGIdb;LRdb;SignaLink_function;OmniPath,generic,functional,resource_specific,P01579,IFNG,protein,15,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P01588,EPO,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P21583,P01588,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,talklr;connectomeDB2020;Matrisome;iTALK;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;Guide2Pharma;DGIdb;LRdb;SignaLink_function;OmniPath,generic,functional,resource_specific,P21583,KITLG,protein,16,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,P01588,EPO,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P29350,P01588,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P29350,PTPN6,protein,1,TRUE,FALSE,FALSE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P01588,EPO,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P04141,P01588,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P04141,CSF2,protein,17,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,P01588,EPO,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
